name,FINISHED,axes.mach.l.p[X],axes.mach.l.p[Y],axes.mach.l.p[C],axes.mach.f.p[X],axes.mach.f.p[Y],axes.mach.f.p[C]
units,sec,mm,mm,deg,mm,mm,deg
0,   0.000000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
1,   0.001000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
2,   0.002000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
3,   0.006000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
4,   0.007000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
5,   0.008000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
6,   0.009000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
7,   0.010000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
8,   0.011000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
9,   0.013000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
10,   0.014000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
11,   0.015000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
12,   0.023000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
13,   0.024000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
14,   0.025000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
15,   0.026000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
16,   0.027000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
17,   0.033000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
18,   0.034000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
19,   0.035000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
20,   0.038000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
21,   0.039000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
22,   0.040000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
23,   0.041000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
24,   0.046000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
25,   0.047000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
26,   0.048000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
27,   0.049000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
28,   0.055000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
29,   0.056000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
30,   0.057000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
31,   0.067000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
32,   0.068000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
33,   0.071000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
34,   0.072000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
35,   0.074000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
36,   0.075000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
37,   0.076000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
38,   0.077000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
39,   0.078000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
40,   0.079000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
41,   0.080000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
42,   0.081000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
43,   0.082000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
44,   0.083000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
45,   0.084000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
46,   0.085000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
47,   0.086000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
48,   0.087000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
49,   0.088000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
50,   0.089000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
51,   0.090000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
52,   0.091000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
53,   0.092000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
54,   0.095000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
55,   0.096000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
56,   0.097000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
57,   0.098000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
58,   0.099000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
59,   0.100000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
60,   0.102000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
61,   0.103000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
62,   0.104000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
63,   0.105000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
64,   0.106000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
65,   0.108000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
66,   0.109000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
67,   0.110000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
68,   0.111000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
69,   0.113000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
70,   0.114000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
71,   0.115000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
72,   0.116000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
73,   0.117000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
74,   0.118000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
75,   0.119000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
76,   0.120000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
77,   0.121000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
78,   0.123000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
79,   0.124000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
80,   0.125000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
81,   0.126000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
82,   0.127000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
83,   0.128000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
84,   0.130000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
85,   0.131000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
86,   0.135000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
87,   0.136000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
88,   0.137000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
89,   0.138000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
90,   0.139000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
91,   0.140000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
92,   0.141000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
93,   0.142000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
94,   0.147000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
95,   0.148000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
96,   0.149000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
97,   0.150000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
98,   0.151000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
99,   0.158000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
100,   0.159000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
101,   0.160000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
102,   0.167000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
103,   0.168000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
104,   0.169000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
105,   0.170000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
106,   0.176000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
107,   0.177000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
108,   0.178000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
109,   0.179000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
110,   0.180000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
111,   0.181000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
112,   0.182000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
113,   0.183000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
114,   0.184000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
115,   0.188000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
116,   0.189000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
117,   0.190000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
118,   0.192000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
119,   0.193000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
120,   0.195000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
121,   0.196000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
122,   0.197000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
123,   0.198000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
124,   0.199000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
125,   0.200000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
126,   0.201000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
127,   0.202000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
128,   0.206000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
129,   0.207000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
130,   0.208000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
131,   0.209000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
132,   0.210000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
133,   0.211000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
134,   0.215000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
135,   0.216000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
136,   0.217000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
137,   0.219000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
138,   0.220000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000007
139,   0.221000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
140,   0.228000,     515.864015,    1445.382953,       0.000000,     515.864015,    1445.382953,       0.000000
