name,FINISHED,axes.mach.l.p[X],axes.mach.l.p[Y],axes.mach.l.v[X],axes.mach.l.v[Y],axes.mach.s.p[X],axes.mach.s.p[Y],axes.mach.f.p[X],axes.mach.f.p[Y],axes.mach.f.v[X],axes.mach.f.v[Y],servo.SV X1.droop,servo.SV X2.droop,servo.SV Y.droop,gm[G_MOTION]
units,sec,mm,mm,mm/min,mm/min,mm,mm,mm,mm,mm/min,mm/min,mm,mm,mm,
0,   0.000000,     -43.345843,     -73.356383,       0.000000,       0.000000,     -43.345843,     -73.356383,     -43.345034,     -73.349118,       0.160000,       0.633365,       0.000000,       0.000000,       0.000000, 0
1,   0.001000,     -43.345843,     -73.356383,       0.000000,       0.000000,     -43.345843,     -73.356383,     -43.345034,     -73.349118,       0.160000,       0.266680,       0.000000,       0.000000,       0.000000, 0
2,   0.002000,     -43.345843,     -73.356383,       0.000000,       0.000000,     -43.345843,     -73.356383,     -43.345034,     -73.349118,      -0.280000,      -0.500025,       0.000000,       0.000000,       0.000000, 0
3,   0.003000,     -43.345843,     -73.356383,       0.000000,       0.000000,     -43.345843,     -73.356383,     -43.345034,     -73.349118,      -0.600000,      -0.600030,       0.000000,       0.000000,       0.000000, 0
4,   0.004000,     -43.345843,     -73.356383,       0.000000,       0.000000,     -43.345843,     -73.356383,     -43.345034,     -73.349118,       0.520000,      -0.166675,       0.000000,       0.000000,       0.000000, 0
5,   0.005000,     -43.345843,     -73.356383,       0.000000,       0.000000,     -43.345843,     -73.356383,     -43.345034,     -73.349118,       0.080000,      -0.033335,       0.000000,       0.000000,       0.000000, 0
6,   0.006000,     -43.345843,     -73.356383,       0.000000,       0.000000,     -43.345843,     -73.356383,     -43.345034,     -73.349118,       0.360000,      -0.366685,       0.000000,       0.000000,       0.000000, 0
7,   0.007000,     -43.345843,     -73.356383,       0.000000,       0.000000,     -43.345843,     -73.356383,     -43.345034,     -73.349118,      -0.280000,       0.133340,       0.000000,       0.000000,       0.000000, 0
8,   0.008000,     -43.345843,     -73.356383,       0.000000,       0.000000,     -43.345843,     -73.356383,     -43.345034,     -73.349118,       0.120000,       0.066670,       0.000000,       0.000000,       0.000000, 0
9,   0.009000,     -43.345843,     -73.356383,       0.000000,       0.000000,     -43.345843,     -73.356383,     -43.345034,     -73.349118,      -0.320000,       0.300015,       0.000000,       0.000000,       0.000000, 0
10,   0.010000,     -43.345843,     -73.356383,       0.000000,       0.000000,     -43.345843,     -73.356383,     -43.345034,     -73.349118,      -0.080000,       0.000000,       0.000000,       0.000000,       0.000000, 0
