name,FINISHED,axes.mach.l.p[X],axes.mach.l.p[Y],axes.mach.f.p[X],axes.mach.f.p[Y]
units,sec,mm,mm,mm,mm
0,   0.000000,    1010.376930,     530.636728,    1010.376930,     530.645669
1,   0.001000,    1010.376930,     530.636728,    1010.376930,     530.645669
2,   0.002000,    1010.376930,     530.636728,    1010.376930,     530.645728
3,   0.004000,    1010.376930,     530.636728,    1010.376930,     530.645728
4,   0.005000,    1010.376930,     530.636728,    1010.376930,     530.645669
5,   0.006000,    1010.376930,     530.636728,    1010.376930,     530.645728
6,   0.008000,    1010.376930,     530.636728,    1010.376930,     530.645728
7,   0.009000,    1010.376930,     530.636728,    1010.376930,     530.645669
8,   0.010000,    1010.376930,     530.636728,    1010.376930,     530.645669
9,   0.011000,    1010.376930,     530.636728,    1010.376930,     530.645728
10,   0.014000,    1010.376930,     530.636728,    1010.376930,     530.645728
11,   0.015000,    1010.376930,     530.636728,    1010.376930,     530.645669
12,   0.016000,    1010.376930,     530.636728,    1010.376930,     530.645728
13,   0.018000,    1010.376930,     530.636728,    1010.376930,     530.645728
14,   0.019000,    1010.376930,     530.636728,    1010.376930,     530.645669
15,   0.020000,    1010.376930,     530.636728,    1010.376930,     530.645728
16,   0.023000,    1010.376930,     530.636728,    1010.376930,     530.645728
17,   0.024000,    1010.376930,     530.636728,    1010.376930,     530.645669
18,   0.025000,    1010.376930,     530.636728,    1010.376930,     530.645728
19,   0.028000,    1010.376930,     530.636728,    1010.376930,     530.645728
20,   0.029000,    1010.376930,     530.636728,    1010.376930,     530.645669
21,   0.030000,    1010.376930,     530.636728,    1010.376930,     530.645728
22,   0.032000,    1010.376930,     530.636728,    1010.376930,     530.645728
23,   0.033000,    1010.376930,     530.636728,    1010.376930,     530.645669
24,   0.034000,    1010.376930,     530.636728,    1010.376930,     530.645728
25,   0.037000,    1010.376930,     530.636728,    1010.376930,     530.645728
26,   0.038000,    1010.376930,     530.636728,    1010.376930,     530.645669
27,   0.039000,    1010.376930,     530.636728,    1010.376930,     530.645728
28,   0.041000,    1010.376930,     530.636728,    1010.376930,     530.645728
29,   0.042000,    1010.376930,     530.636728,    1010.376930,     530.645669
30,   0.043000,    1010.376930,     530.636728,    1010.376930,     530.645728
31,   0.046000,    1010.376930,     530.636728,    1010.376930,     530.645728
32,   0.047000,    1010.376930,     530.636728,    1010.376930,     530.645669
33,   0.048000,    1010.376930,     530.636728,    1010.376930,     530.645728
34,   0.049000,    1010.376930,     530.636728,    1010.376930,     530.645788
35,   0.050000,    1010.376930,     530.636728,    1010.376930,     530.645728
36,   0.051000,    1010.376930,     530.636728,    1010.376930,     530.645669
37,   0.052000,    1010.376930,     530.636728,    1010.376930,     530.645669
