name,FINISHED,axes.mach.l.p[X],axes.mach.l.p[Y],axes.mach.l.v[X],axes.mach.l.v[Y],axes.mach.f.p[X],axes.mach.f.p[Y],axes.mach.f.v[X],axes.mach.f.v[Y]
units,sec,mm,mm,mm/min,mm/min,mm,mm,mm/min,mm/min
0,   0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
1,   0.139000,   -1079.864740,   -1265.604615,       0.000000,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
2,   0.140000,   -1079.864740,   -1265.604615,       0.000000,       0.000000,   -1079.864860,   -1265.604615,       0.000000,       0.000000
3,   0.141000,   -1079.864740,   -1265.604615,       0.000000,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
4,   0.290000,   -1079.864740,   -1265.604615,       0.000000,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
5,   0.291000,   -1079.864740,   -1265.604615,       0.000000,       0.000000,   -1079.864860,   -1265.604615,       0.000000,       0.000000
6,   0.292000,   -1079.864740,   -1265.604615,       0.000000,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
7,   0.343000,   -1079.864740,   -1265.604615,       0.000000,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
8,   0.344000,   -1079.864740,   -1265.604615,       1.470000,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
9,   0.345000,   -1079.864740,   -1265.604615,       5.880000,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
10,   0.346000,   -1079.864621,   -1265.604615,      13.230000,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
11,   0.347000,   -1079.864264,   -1265.604615,      23.519999,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
12,   0.348000,   -1079.863787,   -1265.604615,      36.750000,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
13,   0.349000,   -1079.863071,   -1265.604615,      52.920001,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
14,   0.350000,   -1079.861999,   -1265.604615,      72.029997,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
15,   0.351000,   -1079.860568,   -1265.604615,      94.079997,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
16,   0.352000,   -1079.858780,   -1265.604615,     119.070006,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
17,   0.353000,   -1079.856634,   -1265.604615,     147.000002,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
18,   0.354000,   -1079.853892,   -1265.604615,     177.870006,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
19,   0.355000,   -1079.850674,   -1265.604615,     211.680005,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
20,   0.356000,   -1079.846859,   -1265.604615,     248.429999,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
21,   0.357000,   -1079.842329,   -1265.604615,     288.119987,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
22,   0.358000,   -1079.837203,   -1265.604615,     330.750011,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
23,   0.359000,   -1079.831362,   -1265.604615,     376.319988,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
24,   0.360000,   -1079.824686,   -1265.604615,     424.830001,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
25,   0.361000,   -1079.817176,   -1265.604615,     476.280022,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
26,   0.362000,   -1079.808831,   -1265.604615,     530.670024,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
27,   0.363000,   -1079.799414,   -1265.604615,     588.000007,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
28,   0.364000,   -1079.789162,   -1265.604615,     648.270026,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
29,   0.365000,   -1079.777837,   -1265.604615,     711.480025,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
30,   0.366000,   -1079.765439,   -1265.604615,     777.630005,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
31,   0.367000,   -1079.751849,   -1265.604615,     846.720021,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
32,   0.368000,   -1079.737186,   -1265.604615,     918.750018,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
33,   0.369000,   -1079.721212,   -1265.604615,     993.719995,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
34,   0.370000,   -1079.704046,   -1265.604615,    1071.630009,       0.000000,   -1079.864740,   -1265.604615,       0.000000,       0.000000
35,   0.371000,   -1079.685569,   -1265.604615,    1152.479947,       0.000000,   -1079.864621,   -1265.604615,       0.000000,       0.000000
36,   0.372000,   -1079.665661,   -1265.604615,    1236.270033,       0.000000,   -1079.864621,   -1265.604615,       0.000000,       0.000000
37,   0.373000,   -1079.644322,   -1265.604615,    1323.000044,       0.000000,   -1079.864383,   -1265.604615,       0.000000,       0.000000
38,   0.374000,   -1079.621553,   -1265.604615,    1412.669979,       0.000000,   -1079.864264,   -1265.604615,       0.000000,       0.000000
39,   0.375000,   -1079.597235,   -1265.604615,    1505.279951,       0.000000,   -1079.864025,   -1265.604615,       0.000000,       0.000000
40,   0.376000,   -1079.571247,   -1265.604615,    1600.829959,       0.000000,   -1079.863667,   -1265.604615,       0.000000,       0.000000
41,   0.377000,   -1079.543829,   -1265.604615,    1699.320003,       0.000000,   -1079.863310,   -1265.604615,       0.000000,       0.000000
42,   0.378000,   -1079.514623,   -1265.604615,    1800.749972,       0.000000,   -1079.862833,   -1265.604615,       0.000000,       0.000000
43,   0.379000,   -1079.483747,   -1265.604615,    1905.120090,       0.000000,   -1079.862356,   -1265.604615,       0.000000,       0.000000
44,   0.380000,   -1079.451084,   -1265.604615,    2012.429908,       0.000000,   -1079.861522,   -1265.604615,       0.000000,       0.000000
45,   0.381000,   -1079.416633,   -1265.604615,    2120.241299,       0.000000,   -1079.860687,   -1265.604615,       0.000000,       0.000000
46,   0.382000,   -1079.380512,   -1265.604615,    2225.136012,       0.000000,   -1079.859614,   -1265.604615,       0.000000,       0.000000
47,   0.383000,   -1079.342484,   -1265.604615,    2327.090800,       0.000000,   -1079.858422,   -1265.604615,       0.000000,       0.000000
48,   0.384000,   -1079.302907,   -1265.604615,    2426.105663,       0.000000,   -1079.856992,   -1265.604615,       0.000000,       0.000000
49,   0.385000,   -1079.261661,   -1265.604615,    2522.180378,       0.000000,   -1079.855204,   -1265.604615,       0.000000,       0.000000
50,   0.386000,   -1079.218864,   -1265.604615,    2615.315169,       0.000000,   -1079.853058,   -1265.604615,       0.000000,       0.000000
51,   0.387000,   -1079.174519,   -1265.604615,    2705.509812,       0.000000,   -1079.850674,   -1265.604615,       0.000000,       0.000000
52,   0.388000,   -1079.128742,   -1265.604615,    2792.764530,       0.000000,   -1079.847455,   -1265.604615,       0.000000,       0.000000
