name,TIME,axes.mach.l.p[X],axes.mach.l.p[Y],axes.mach.f.p[X],axes.mach.f.p[Y],servo.SV X1.droop,servo.SV X1.delay,servo.SV Y.droop,servo.SV Y.delay
units,sec,mm,mm,mm,mm,mm,mSec,mm,mSec
0,   0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.366199,       0.000000,       0.000000,       0.000000,       0.000000
1,   0.159000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.366199,       0.000000,       0.000000,       0.000000,       0.000000
2,   0.160000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.366319,       0.000000,       0.000000,       0.000032,       0.000000
3,   0.161000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.366199,       0.000000,       0.000000,       0.000000,       0.000000
4,   0.565000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.366199,       0.000000,       0.000000,       0.000000,       0.000000
5,   0.566000,   -1209.527612,   -1112.314463,   -1209.525466,   -1112.366199,       0.000000,       0.000000,       0.000000,       0.000000
6,   0.567000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.366199,       0.000000,       0.000000,       0.000000,       0.000000
7,   0.572000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.366199,       0.000000,       0.000000,       0.000000,       0.000000
8,   0.573000,   -1209.527612,   -1112.314463,   -1209.525466,   -1112.366199,       0.000000,       0.000000,       0.000000,       0.000000
9,   0.574000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.366199,       0.000000,       0.000000,       0.000000,       0.000000
10,   0.600000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.366199,       0.000000,       0.000000,       0.000000,       0.000000
11,   0.601000,   -1209.527612,   -1112.314463,   -1209.525466,   -1112.366199,       0.000000,       0.000000,       0.000000,       0.000000
12,   0.602000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.366199,       0.000000,       0.000000,       0.000000,       0.000000
13,   0.604000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.366199,       0.000000,       0.000000,       0.000000,       0.000000
14,   0.605000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.366199,       0.000000,       0.000000,      -0.000032,       0.000000
15,   0.606000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.366199,       0.000000,       0.000000,       0.000000,       0.000000
16,   0.625000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.366199,       0.000000,       0.000000,       0.000000,       0.000000
17,   0.626000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.366319,       0.000000,       0.000000,       0.000032,       0.000000
