name,TIME,axes.mach.l.p[X],axes.mach.l.p[Y],axes.mach.l.v[X],axes.mach.l.v[Y],axes.mach.s.p[X],axes.mach.s.p[Y],axes.mach.f.p[X],axes.mach.f.p[Y],axes.mach.f.v[X],axes.mach.f.v[Y],servo.SV X1.load,servo.SV X2.load,servo.SV Y.load
units,sec,mm,mm,mm/min,mm/min,mm,mm,mm,mm,mm/min,mm/min,,,
0,   0.000000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,       0.560000,      -0.266680,       0.002000,       0.021000,       0.004000
1,   0.001000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,      -1.320000,       0.333350,       0.026000,       0.020000,       0.004000
2,   0.002000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,      -0.560000,      -0.266680,       0.021000,       0.015000,       0.003000
3,   0.003000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,      -0.000000,       0.333350,       0.010000,       0.016000,       0.005000
4,   0.004000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,      -0.080000,       0.066670,       0.020000,       0.016000,       0.007000
5,   0.005000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,      -0.440000,      -0.366685,       0.020000,       0.018000,       0.007000
6,   0.006000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,       0.640000,       0.333350,       0.002000,       0.020000,       0.008000
7,   0.007000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,       0.120000,       0.000000,       0.007000,       0.021000,       0.007000
8,   0.008000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,      -1.000000,      -0.466690,       0.018000,       0.021000,       0.007000
9,   0.009000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,       0.040000,      -0.066670,       0.016000,       0.016000,       0.004000
10,   0.010000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,       0.240000,       0.066670,       0.005000,       0.015000,       0.003000
11,   0.011000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,       0.080000,       0.133340,       0.020000,       0.015000,       0.004000
12,   0.012000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,      -0.800000,       0.000000,       0.005000,       0.016000,       0.005000
13,   0.013000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,      -0.000000,      -0.200010,       0.018000,       0.020000,       0.004000
14,   0.014000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,       0.600000,      -0.100005,       0.032000,       0.021000,       0.007000
15,   0.015000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,      -1.000000,      -0.066670,       0.002000,       0.021000,       0.008000
16,   0.016000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,      -0.040000,      -0.600030,       0.012000,       0.016000,       0.006000
17,   0.017000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,       0.160000,      -0.100005,       0.021000,       0.016000,       0.006000
18,   0.018000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,       0.240000,       0.166675,       0.023000,       0.015000,       0.006000
19,   0.019000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,      -1.080000,      -0.533360,       0.023000,       0.015000,       0.003000
20,   0.020000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,       0.520000,       0.200010,       0.023000,       0.019000,       0.003000
21,   0.021000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,       0.480000,       0.166675,       0.016000,       0.020000,       0.003000
22,   0.022000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,      -1.360000,      -0.100005,       0.020000,       0.021000,       0.004000
23,   0.023000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,      -0.520000,      -0.166675,       0.020000,       0.017000,       0.005000
24,   0.024000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,       0.280000,       0.033335,       0.029000,       0.016000,       0.006000
25,   0.025000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,      -0.280000,       0.000000,       0.010000,       0.015000,       0.007000
26,   0.026000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,      -0.760000,      -0.200010,       0.010000,       0.014000,       0.007000
27,   0.027000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,       0.560000,      -0.266680,       0.008000,       0.019000,       0.007000
28,   0.028000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,       0.480000,      -0.100005,       0.015000,       0.020000,       0.006000
29,   0.029000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,      -0.720000,      -0.500025,       0.013000,       0.020000,       0.004000
30,   0.030000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,      -0.040000,       0.733370,       0.013000,       0.019000,       0.004000
31,   0.031000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,       0.560000,      -0.033335,       0.018000,       0.016000,       0.004000
32,   0.032000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,       0.360000,       0.066670,       0.013000,       0.016000,       0.004000
33,   0.033000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,      -0.640000,      -0.333350,       0.026000,       0.015000,       0.006000
34,   0.034000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,       0.440000,       1.033385,       0.010000,       0.019000,       0.007000
35,   0.035000,   -1209.527612,   -1112.314463,       0.000000,       0.000000,   -1209.527612,   -1112.314463,   -1209.525585,   -1112.387896,       0.520000,      -0.266680,       0.008000,       0.021000,       0.007000
