name,TIME,axes.mach.l.p[X],axes.mach.l.p[Y],axes.mach.l.v[X],axes.mach.l.v[Y],axes.mach.d.p[X],axes.mach.s.p[X],axes.mach.s.p[Y],axes.mach.f.p[X],axes.mach.f.p[Y],axes.mach.f.v[X],axes.mach.f.v[Y]
units,sec,mm,mm,mm/min,mm/min,mm,mm,mm,mm,mm,mm/min,mm/min
0,   0.000000,     101.849243,       2.121320,       0.000000,       0.000000,     101.640753,     101.640753,       2.121320,     101.640753,       2.121320,       0.000000,       0.000000
1,   0.381000,     101.849243,       2.121320,       0.000000,       0.000000,     101.640753,     101.640753,       2.121320,     101.640753,       2.121320,       0.000000,       0.000000
2,   0.382000,     101.849243,       2.121320,       0.000000,       0.000000,     101.640753,     101.640753,       2.121320,     101.640753,       2.121320,      -0.000000,       0.000000
3,   0.383000,     101.849243,       2.121320,       0.000000,       0.000000,     101.640753,     101.640753,       2.121320,     101.640753,       2.121320,       0.000000,       0.000000
4,   0.387000,     101.849243,       2.121320,       0.000000,       0.000000,     101.640753,     101.640753,       2.121320,     101.640753,       2.121320,       0.000000,       0.000000
5,   0.388000,     101.849250,       2.121326,       1.050000,       1.050000,     101.640753,     101.640753,       2.121320,     101.640753,       2.121320,       0.000000,       0.000000
6,   0.389000,     101.849288,       2.121367,       4.200000,       4.200000,     101.640753,     101.640753,       2.121326,     101.640753,       2.121320,       0.000000,       0.000000
7,   0.390000,     101.849400,       2.121478,       9.450000,       9.450000,     101.640798,     101.640798,       2.121367,     101.640753,       2.121326,       0.000347,       0.000350
8,   0.391000,     101.849616,       2.121694,      16.800000,      16.800000,     101.640902,     101.640902,       2.121478,     101.640798,       2.121367,       0.002426,       0.002450
9,   0.392000,     101.849973,       2.122049,      26.250001,      26.250001,     101.641119,     101.641119,       2.121694,     101.640902,       2.121478,       0.006584,       0.006650
10,   0.393000,     101.850502,       2.122580,      37.800001,      37.800001,     101.641469,     101.641469,       2.122049,     101.641119,       2.121694,       0.012820,       0.012950
11,   0.394000,     101.851240,       2.123321,      51.450001,      51.450001,     101.641998,     101.641998,       2.122580,     101.641469,       2.122049,       0.021137,       0.021350
12,   0.395000,     101.852231,       2.124307,      67.200002,      67.200002,     101.642728,     101.642728,       2.123321,     101.641998,       2.122580,       0.031532,       0.031850
13,   0.396000,     101.853497,       2.125573,      85.049998,      85.049998,     101.643704,     101.643704,       2.124307,     101.642728,       2.123321,       0.044005,       0.044450
14,   0.397000,     101.855077,       2.127154,     105.000003,     105.000003,     101.644963,     101.644963,       2.125573,     101.643704,       2.124307,       0.058559,       0.059150
15,   0.398000,     101.857007,       2.129084,     127.049997,     127.049997,     101.646528,     101.646528,       2.127154,     101.644963,       2.125573,       0.075191,       0.075950
16,   0.399000,     101.859324,       2.131400,     151.200006,     151.200006,     101.648435,     101.648435,       2.129084,     101.646528,       2.127154,       0.093901,       0.094850
17,   0.400000,     101.862058,       2.134136,     177.450003,     177.450003,     101.650730,     101.650730,       2.131400,     101.648435,       2.129084,       0.114692,       0.115850
18,   0.401000,     101.865247,       2.137327,     205.800002,     205.800002,     101.653434,     101.653434,       2.134136,     101.650730,       2.131400,       0.137560,       0.138950
19,   0.402000,     101.868927,       2.141008,     236.250004,     236.250004,     101.656593,     101.656593,       2.137327,     101.653434,       2.134136,       0.162508,       0.164150
20,   0.403000,     101.873137,       2.145214,     268.800007,     268.800007,     101.660244,     101.660244,       2.141008,     101.656593,       2.137327,       0.189535,       0.191450
21,   0.404000,     101.877898,       2.149980,     303.450013,     303.450013,     101.664402,     101.664402,       2.145214,     101.660244,       2.141008,       0.218641,       0.220850
22,   0.405000,     101.883262,       2.155340,     340.199992,     340.199992,     101.669125,     101.669125,       2.149980,     101.664402,       2.145214,       0.249826,       0.252350
23,   0.406000,     101.889253,       2.161331,     379.050002,     379.050002,     101.674430,     101.674430,       2.155340,     101.669125,       2.149980,       0.283091,       0.285950
24,   0.407000,     101.895906,       2.167987,     420.000013,     420.000013,     101.680361,     101.680361,       2.161331,     101.674430,       2.155340,       0.318433,       0.321650
25,   0.408000,     101.903267,       2.175343,     463.049999,     463.049999,     101.686947,     101.686947,       2.167987,     101.680361,       2.161331,       0.355855,       0.359450
26,   0.409000,     101.911359,       2.183434,     508.199986,     508.199986,     101.694234,     101.694234,       2.175343,     101.686947,       2.167987,       0.395357,       0.399350
27,   0.410000,     101.920217,       2.192294,     555.450004,     555.450004,     101.702243,     101.702243,       2.183434,     101.694234,       2.175343,       0.436936,       0.441350
28,   0.411000,     101.929881,       2.201960,     604.800023,     604.800023,     101.711012,     101.711012,       2.192294,     101.702243,       2.183434,       0.480596,       0.485450
29,   0.412000,     101.940386,       2.212466,     656.249989,     656.249989,     101.720586,     101.720586,       2.201960,     101.711012,       2.192294,       0.526333,       0.531650
30,   0.413000,     101.951770,       2.223847,     709.800012,     709.800012,     101.730987,     101.730987,       2.212466,     101.720586,       2.201960,       0.574150,       0.579950
31,   0.414000,     101.964056,       2.236138,     765.449982,     765.449982,     101.742253,     101.742253,       2.223847,     101.729944,       2.211416,       0.561642,       0.567315
32,   0.415000,     101.977289,       2.249368,     821.973346,     821.973346,     101.754420,     101.754420,       2.236138,     101.741023,       2.222604,       0.664584,       0.671296
33,   0.416000,     101.991445,       2.263526,     876.513440,     876.513440,     101.767518,     101.767518,       2.249368,     101.753078,       2.234784,       0.723526,       0.730835
34,   0.417000,     102.006495,       2.278574,     928.953476,     928.953476,     101.781532,     101.781532,       2.263526,     101.766072,       2.247910,       0.779662,       0.787537
